file,subject
1801.08736,Superconductivity (cond-mat.supr-con)
1801.07027,Functional Analysis (math.FA)
1801.06268,Software Engineering (cs.SE)
1801.03593,Astrophysics of Galaxies (astro-ph.GA)
1801.00778,Quantum Physics (quant-ph)
1801.09189,Programming Languages (cs.PL)
1801.01478,Solar and Stellar Astrophysics (astro-ph.SR)
1801.09819,Machine Learning (stat.ML)
1801.06717,Digital Libraries (cs.DL)
1801.09176,Signal Processing (eess.SP)
1801.01649,Machine Learning (stat.ML)
1801.02570,Plasma Physics (physics.plasm-ph)
1801.04815,Computer Vision and Pattern Recognition (cs.CV)
1801.00607,High Energy Physics - Phenomenology (hep-ph)
1801.03983,Computer Vision and Pattern Recognition (cs.CV)
1801.10209,Strongly Correlated Electrons (cond-mat.str-el)
1801.07664,Logic in Computer Science (cs.LO)
1801.07317,Computational Complexity (cs.CC)
1801.07051,Nuclear Experiment (nucl-ex)
1801.08185,Cryptography and Security (cs.CR)
1801.00742,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.10605,High Energy Physics - Theory (hep-th)
1801.06055,Computers and Society (cs.CY)
1801.02769,Genomics (q-bio.GN)
1801.07922,Analysis of PDEs (math.AP)
1801.06112,Commutative Algebra (math.AC)
1801.09564,Probability (math.PR)
1801.01628,General Mathematics (math.GM)
1801.01724,Classical Analysis and ODEs (math.CA)
1801.02391,Instrumentation and Methods for Astrophysics (astro-ph.IM)
1801.02658,Earth and Planetary Astrophysics (astro-ph.EP)
1801.04710,General Relativity and Quantum Cosmology (gr-qc)
1801.08310,Machine Learning (stat.ML)
1801.02209,Learning (cs.LG)
1801.05960,Nuclear Theory (nucl-th)
1801.00308,Cryptography and Security (cs.CR)
1801.08064,Cryptography and Security (cs.CR)
1801.01069,Information Theory (cs.IT)
1801.07193,Discrete Mathematics (cs.DM)
1801.09283,Algebraic Topology (math.AT)
1801.01355,Astrophysics of Galaxies (astro-ph.GA)
1801.08430,Differential Geometry (math.DG)
1801.00321,Quantum Algebra (math.QA)
1801.09864,Genomics (q-bio.GN)
1801.09784,High Energy Astrophysical Phenomena (astro-ph.HE)
1801.02013,Mathematical Physics (math-ph)
1801.02842,Numerical Analysis (math.NA)
1801.08646,Methodology (stat.ME)
1801.02843,High Energy Physics - Phenomenology (hep-ph)
1801.09057,Computer Vision and Pattern Recognition (cs.CV)
1801.02209,Learning (cs.LG)
1801.00080,Quantum Physics (quant-ph)
1801.04668,Information Theory (cs.IT)
1801.10489,Algebraic Geometry (math.AG)
1801.09484,Software Engineering (cs.SE)
1801.08654,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
1801.01194,Algebraic Geometry (math.AG)
1801.08568,Solar and Stellar Astrophysics (astro-ph.SR)
1801.04602,Quantum Physics (quant-ph)
1801.00762,Quantum Physics (quant-ph)
1801.00928,Optics (physics.optics)
1801.07051,Nuclear Experiment (nucl-ex)
1801.09125,Information Theory (cs.IT)
1801.07738,Astrophysics of Galaxies (astro-ph.GA)
1801.03416,Soft Condensed Matter (cond-mat.soft)
1801.06422,Computation and Language (cs.CL)
1801.06886,Logic in Computer Science (cs.LO)
1801.00780,Mathematical Physics (math-ph)
1801.08971,Instrumentation and Methods for Astrophysics (astro-ph.IM)
1801.00986,Representation Theory (math.RT)
1801.04157,Applied Physics (physics.app-ph)
1801.06334,Combinatorics (math.CO)
1801.00288,Combinatorics (math.CO)
1801.02036,Analysis of PDEs (math.AP)
1801.03742,Statistics Theory (math.ST)
1801.09530,Computer Vision and Pattern Recognition (cs.CV)
1801.06947,Combinatorics (math.CO)
1801.06996,Nuclear Experiment (nucl-ex)
1801.08220,Superconductivity (cond-mat.supr-con)
1801.10269,Software Engineering (cs.SE)
1801.03177,Instrumentation and Methods for Astrophysics (astro-ph.IM)
1801.04632,Geometric Topology (math.GT)
1801.07833,Biological Physics (physics.bio-ph)
1801.03988,Quantum Physics (quant-ph)
1801.07928,High Energy Physics - Phenomenology (hep-ph)
1801.10292,Information Theory (cs.IT)
1801.10483,Formal Languages and Automata Theory (cs.FL)
1801.01460,Dynamical Systems (math.DS)
1801.08119,Mesoscale and Nanoscale Physics (cond-mat.mes-hall)
1801.08754,Social and Information Networks (cs.SI)
1801.03022,Nuclear Experiment (nucl-ex)
1801.02480,Computer Vision and Pattern Recognition (cs.CV)
1801.01974,Computer Vision and Pattern Recognition (cs.CV)
1801.06605,Software Engineering (cs.SE)
1801.09727,Atomic Physics (physics.atom-ph)
1801.05132,Robotics (cs.RO)
1801.09317,Artificial Intelligence (cs.AI)
1801.07644,Machine Learning (stat.ML)
1801.10192,Fluid Dynamics (physics.flu-dyn)
1801.07507,Computation and Language (cs.CL)
1801.05956,Medical Physics (physics.med-ph)
1801.00104,Analysis of PDEs (math.AP)
1801.06293,Quantum Physics (quant-ph)
1801.05991,Superconductivity (cond-mat.supr-con)
1801.08546,High Energy Physics - Theory (hep-th)
1801.04890,Solar and Stellar Astrophysics (astro-ph.SR)
1801.05829,Materials Science (cond-mat.mtrl-sci)
1801.07096,Information Theory (cs.IT)
1801.06332,Astrophysics of Galaxies (astro-ph.GA)
1801.07663,Systems and Control (cs.SY)
1801.08290,Computation and Language (cs.CL)
1801.10603,Information Retrieval (cs.IR)
1801.07272,Astrophysics of Galaxies (astro-ph.GA)
1801.02062,Cryptography and Security (cs.CR)
1801.07322,Algebraic Geometry (math.AG)
1801.01980,Networking and Internet Architecture (cs.NI)
1801.10556,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.01808,Metric Geometry (math.MG)
1801.02099,Networking and Internet Architecture (cs.NI)
1801.00259,Multiagent Systems (cs.MA)
1801.05781,Earth and Planetary Astrophysics (astro-ph.EP)
1801.01963,Commutative Algebra (math.AC)
1801.09051,Solar and Stellar Astrophysics (astro-ph.SR)
1801.03684,High Energy Physics - Theory (hep-th)
1801.10112,Computer Vision and Pattern Recognition (cs.CV)
1801.02033,General Relativity and Quantum Cosmology (gr-qc)
1801.08761,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.06106,Solar and Stellar Astrophysics (astro-ph.SR)
1801.10157,High Energy Physics - Phenomenology (hep-ph)
1801.02918,Networking and Internet Architecture (cs.NI)
1801.09455,High Energy Physics - Lattice (hep-lat)
1801.03059,High Energy Physics - Phenomenology (hep-ph)
1801.02838,Statistical Mechanics (cond-mat.stat-mech)
1801.07492,Computer Vision and Pattern Recognition (cs.CV)
1801.08372,Materials Science (cond-mat.mtrl-sci)
1801.07904,Quantum Physics (quant-ph)
1801.09802,Databases (cs.DB)
1801.09440,Analysis of PDEs (math.AP)
1801.09490,Quantum Gases (cond-mat.quant-gas)
1801.10392,Probability (math.PR)
1801.09299,Computation (stat.CO)
1801.10110,Computer Science and Game Theory (cs.GT)
1801.03170,Accelerator Physics (physics.acc-ph)
1801.05257,Differential Geometry (math.DG)
1801.09548,Differential Geometry (math.DG)
